x,y
91.379,29.818
91.388,29.84
91.379,29.818
91.388,29.84
91.248,29.983
91.395,29.842
91.395,29.843
91.394,29.843
91.395,29.843
91.395,29.843
91.385,29.843
91.368,29.85
91.369,29.849
91.369,29.849
91.369,29.849
91.37,29.849
91.372,29.85
91.372,29.85
91.372,29.85
91.467,29.832
91.371,29.85
91.344,29.849
91.645,29.8
91.361,29.853
91.356,29.856
91.357,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.467,29.832
91.371,29.85
91.344,29.849
91.645,29.8
91.356,29.856
91.357,29.856
91.467,29.832
91.371,29.85
91.467,29.832
91.371,29.85
91.467,29.832
91.371,29.85
91.368,29.85
91.365,29.851
91.369,29.849
91.278,29.896
91.279,29.896
91.369,29.849
91.357,29.855
91.356,29.856
91.356,29.856
91.356,29.856
91.357,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.356,29.856
91.349,29.882
91.561,29.827
91.386,29.862
91.349,29.882
91.561,29.827
91.386,29.862
91.349,29.882
91.42,29.83
91.419,29.831
91.421,29.83
91.561,29.827
91.386,29.862
91.349,29.882
91.42,29.83
91.419,29.831
91.561,29.827
91.421,29.83
91.419,29.831
91.42,29.83
91.419,29.83
91.414,29.824
91.376,29.853
91.35,29.858
91.355,29.859
91.368,29.851
91.368,29.851
91.35,29.858
91.35,29.858
91.369,29.849
91.369,29.849
91.368,29.85
91.368,29.851
91.368,29.851
91.355,29.859
91.35,29.858
91.35,29.858
91.35,29.858
91.35,29.858
91.35,29.858
91.419,29.818
91.366,29.853
91.404,29.838
91.348,29.861
91.425,29.826
91.624,29.868
91.429,29.839
91.402,29.821
91.419,29.818
91.366,29.853
91.404,29.838
91.348,29.861
91.348,29.861
91.404,29.838
91.366,29.853
91.419,29.818
91.412,29.829
91.412,29.829
91.412,29.829
91.411,29.829
91.412,29.828
91.425,29.83
91.424,29.829
91.42,29.83
91.419,29.83
91.419,29.83
91.4,29.84
91.405,29.831
91.186,29.881
91.188,29.886
91.156,29.873
91.185,29.97
91.216,29.864
91.171,29.969
91.152,29.896
91.171,29.897
91.369,29.849
91.42,29.831
91.186,29.881
91.188,29.886
91.156,29.873
91.185,29.97
91.216,29.864
91.171,29.969
91.152,29.896
91.171,29.897
91.369,29.849
91.42,29.831
91.186,29.881
91.188,29.886
91.156,29.873
91.162,29.895
91.163,29.896
91.163,29.896
91.186,29.881
91.415,29.835
91.42,29.831
91.369,29.849
91.171,29.897
91.152,29.896
91.171,29.969
91.163,29.897
91.163,29.897
91.163,29.896
91.163,29.896
91.163,29.896
91.162,29.895
91.163,29.897
91.163,29.897
91.149,29.891
91.148,29.89
91.144,29.893
91.163,29.897
91.163,29.897
91.162,29.895
91.162,29.895
91.162,29.895
90.293,29.896
91.63,29.801
90.293,29.896
91.63,29.801
