x,y
91.586,30.658
91.592,30.648
91.379,29.818
91.572,30.647
91.594,30.649
91.388,29.84
91.587,30.655
91.248,29.983
91.464,30.574
91.591,30.648
91.37,29.849
91.372,29.85
91.385,29.843
91.344,29.849
91.357,29.856
91.365,29.851
91.645,29.8
91.278,29.896
91.467,29.832
91.361,29.853
91.279,29.896
91.371,29.85
91.356,29.856
91.368,29.85
91.357,29.855
91.386,29.862
91.42,29.83
91.349,29.882
91.419,29.831
91.414,29.824
91.561,29.827
91.421,29.83
91.376,29.853
91.35,29.858
91.355,29.859
91.368,29.851
91.419,29.818
91.624,29.868
91.366,29.853
91.429,29.839
91.404,29.838
91.402,29.821
91.348,29.861
91.425,29.826
91.424,29.829
91.405,29.831
91.4,29.84
91.188,29.886
91.171,29.969
91.42,29.831
91.162,29.895
91.156,29.873
91.152,29.896
91.163,29.896
91.415,29.835
91.185,29.97
91.171,29.897
91.186,29.881
91.216,29.864
91.369,29.849
91.149,29.891
91.163,29.897
91.148,29.89
90.293,29.896
91.145,29.899
91.63,29.801
91.151,29.892
91.151,29.896
91.145,29.894
91.155,29.892
91.147,29.89
91.146,29.894
91.164,29.897
91.159,29.886
91.156,29.892
91.165,29.897
90.902,29.952
91.16,29.889
91.164,29.841
91.178,29.888
91.153,29.89
91.105,29.783
91.156,29.891
91.162,29.896
91.097,29.733
91.049,29.958
91.144,29.893
91.091,29.846
91.157,29.9
91.125,29.875
91.157,29.896
91.157,29.895
90.161,29.886
91.154,29.892
91.157,29.891
91.497,29.845
91.398,29.84
91.402,29.843
91.41,29.829
91.404,29.832
91.32,29.817
91.41,29.83
91.424,29.828
91.331,29.93
91.407,29.833
91.404,29.833
91.416,29.832
91.421,29.831
91.304,29.893
91.431,29.85
91.421,29.825
91.406,29.833
91.405,29.827
91.425,29.83
91.347,29.857
91.348,29.857
91.425,29.831
91.346,29.82
91.405,29.817
91.385,29.849
91.424,29.832
91.52,29.984
91.558,29.819
91.403,29.833
91.421,29.51
91.362,29.796
91.417,29.832
91.161,29.842
94.154,28.524
91.426,29.829
91.309,29.824
91.392,29.85
91.422,29.831
91.414,29.835
91.424,29.83
91.393,29.85
91.421,29.843
91.407,29.843
91.372,29.84
91.448,29.83
91.426,29.831
91.422,29.829
91.298,29.816
91.394,29.843
91.394,29.851
91.335,29.757
91.401,29.846
91.395,29.842
91.395,29.859
91.401,29.854
91.392,29.849
91.407,29.844
91.385,29.835
91.395,29.843
91.392,29.851
91.419,29.83
91.371,29.863
91.399,29.847
91.381,29.85
91.395,29.848
91.413,29.885
91.395,29.839
91.385,29.848
91.508,29.779
91.463,29.822
91.383,29.847
91.328,30.013
90.55,29.685
91.386,29.843
91.013,29.628
91.527,29.856
91.399,29.846
91.192,29.788
91.404,29.825
91.402,29.836
91.281,29.851
91.24,29.874
91.397,29.823
91.399,29.844
91.383,29.829
91.41,29.832
91.104,29.758
91.411,29.832
91.391,29.853
91.385,29.846
91.406,29.84
91.358,29.851
91.43,29.823
91.377,29.842
91.397,29.848
91.378,29.854
91.412,29.837
91.408,29.84
91.397,29.845
91.418,29.831
91.394,29.767
91.4,29.845
91.385,29.85
91.417,29.837
91.396,29.847
91.449,29.838
91.384,29.851
91.553,29.837
91.399,29.845
