x,y
99.796,36.742
99.775,36.77
99.789,36.757
99.777,36.765
99.793,36.742
99.514,36.836
99.786,36.761
99.77,36.763
99.779,36.764
99.794,36.816
99.779,36.765
99.644,36.835
99.79,36.761
99.767,36.763
99.781,36.76
99.768,36.763
99.753,36.762
99.788,36.762
99.79,36.76
99.789,36.758
99.641,36.895
99.643,36.895
99.637,36.899
99.627,36.9
99.69,36.883
99.635,36.899
99.635,36.898
99.633,36.902
99.635,36.902
99.632,36.905
99.654,36.884
99.674,36.857
99.697,36.88
99.655,36.884
99.653,36.884
99.709,36.883
99.636,36.899
99.687,36.883
99.548,36.876
99.661,36.886
99.563,36.859
99.634,36.896
98.826,36.572
100.057,36.99
99.541,36.829
99.309,37.007
99.655,36.883
99.431,36.857
99.696,36.87
99.445,36.9
99.637,36.898
99.6,36.914
99.755,36.764
99.633,36.901
99.702,36.874
99.658,36.886
99.76,36.764
99.645,36.895
99.949,36.81
99.622,36.87
99.63,36.899
99.969,36.814
99.841,36.808
99.76,36.802
99.575,36.917
99.632,36.902
99.695,36.896
99.636,36.904
99.636,36.9
99.638,36.91
99.557,36.821
99.633,36.9
99.579,36.903
99.812,36.909
99.642,36.896
99.534,36.893
99.655,36.885
99.796,36.926
99.564,36.913
99.621,36.907
99.678,36.91
99.633,36.904
99.628,36.908
99.627,36.909
99.627,36.908
99.631,36.918
99.633,36.903
99.632,36.904
99.15,36.743
99.598,36.897
99.13,37.132
99.637,36.9
99.635,36.901
99.634,36.899
99.631,36.941
99.635,36.9
99.712,36.89
99.644,36.905
99.649,36.904
99.974,36.877
99.619,36.908
99.763,36.829
99.621,36.923
99.63,36.906
99.655,36.923
99.642,36.893
99.647,36.9
99.737,36.77
99.838,36.967
99.634,36.9
99.631,36.902
99.917,36.798
99.908,36.794
99.629,36.901
99.637,36.911
99.623,36.922
99.736,36.941
99.677,36.925
99.666,36.888
99.622,36.911
99.6,36.916
99.619,36.898
99.511,36.698
99.639,36.897
99.631,36.905
99.625,36.903
99.698,36.906
99.585,36.872
99.79,36.764
99.82,36.764
99.756,36.763
99.752,36.746
99.773,36.751
99.754,36.763
99.753,36.763
99.85,36.79
99.951,36.766
99.918,36.798
99.8,36.783
99.7,36.766
99.795,36.749
99.75,36.768
99.827,36.771
99.888,36.812
99.758,36.764
99.75,36.767
99.762,36.763
99.789,36.768
99.758,36.763
