x,y
99.793,36.742
99.796,36.74
99.801,36.783
99.801,36.783
99.801,36.783
99.797,36.736
99.797,36.736
99.797,36.736
99.797,36.736
99.797,36.736
99.796,36.738
99.774,37.119
99.777,37.119
99.763,37.124
99.761,37.127
99.761,37.128
99.761,37.129
99.761,37.128
99.761,37.128
99.761,37.129
99.761,37.128
99.761,37.128
99.762,37.129
99.762,37.124
99.765,37.126
99.718,37.095
99.761,37.128
99.761,37.128
99.765,37.126
99.762,37.125
99.763,37.124
99.763,37.124
99.76,37.121
99.76,37.121
99.759,37.121
99.763,37.122
99.765,37.126
99.775,37.136
99.762,37.126
99.761,37.127
99.762,37.127
99.758,37.131
99.76,37.122
99.766,37.127
99.766,37.127
99.789,37.109
99.76,37.122
99.76,37.122
99.76,37.122
99.764,37.126
99.76,37.122
99.76,37.122
99.762,37.124
99.762,37.125
99.762,37.124
99.762,37.124
99.759,37.121
99.762,37.124
99.756,37.13
99.779,37.1
99.756,37.12
99.736,37.131
99.736,37.132
99.736,37.132
99.727,37.123
99.761,37.127
99.73,37.128
99.765,37.127
99.761,37.127
99.725,37.129
99.733,37.138
99.755,37.124
99.723,37.131
99.759,37.128
99.723,37.131
99.723,37.131
99.723,37.131
99.71,37.123
99.651,37.094
99.723,37.131
99.761,37.13
99.761,37.13
99.76,37.12
99.761,37.13
99.761,37.131
99.761,37.13
99.724,37.131
99.723,37.134
99.761,37.131
99.751,37.175
99.723,37.131
99.772,37.124
99.761,37.131
99.723,37.131
99.76,37.131
99.814,37.103
99.723,37.132
99.761,37.131
99.758,37.141
99.755,37.129
99.761,37.129
99.761,37.129
99.761,37.129
99.723,37.131
99.761,37.128
99.761,37.129
99.724,37.131
99.754,37.142
99.757,37.137
99.754,37.143
99.761,37.129
99.785,37.139
99.816,37.161
99.76,37.131
99.76,37.131
99.76,37.133
99.754,37.142
99.76,37.131
99.76,37.131
99.819,37.1
99.737,37.125
99.76,37.131
99.76,37.131
99.761,37.13
99.76,37.131
99.761,37.131
99.761,37.13
99.76,37.131
99.76,37.13
99.76,37.13
99.76,37.13
99.76,37.131
99.756,37.137
99.761,37.131
99.76,37.131
99.76,37.131
99.75,37.135
99.761,37.131
99.77,37.139
99.76,37.131
99.654,37.074
99.76,37.131
99.761,37.13
99.76,37.13
99.76,37.131
99.769,37.138
99.761,37.131
99.761,37.131
99.76,37.13
99.76,37.13
99.756,37.137
99.812,37.174
99.812,37.106
99.76,37.131
99.76,37.131
99.76,37.13
99.76,37.131
99.76,37.13
99.76,37.131
99.828,37.132
99.739,37.174
99.761,37.13
99.76,37.13
99.76,37.131
99.76,37.131
99.76,37.131
99.758,37.142
99.76,37.131
99.761,37.13
99.733,37.126
99.918,36.798
99.918,36.798
99.76,37.131
99.732,37.126
99.76,37.131
99.76,37.131
99.76,37.131
99.76,37.131
99.76,37.131
99.76,37.131
99.761,37.131
99.757,37.146
99.76,37.131
99.786,36.761
99.797,36.737
99.797,36.737
99.76,37.131
99.776,37.102
99.8,37.135
99.754,37.142
99.76,37.131
99.76,37.131
99.76,37.131
99.76,37.131
99.757,37.135
99.754,37.141
99.76,37.131
99.755,37.142
99.76,37.131
99.761,37.13
99.76,37.131
99.874,37.177
99.761,37.13
99.765,37.134
99.761,37.13
99.761,37.131
99.755,37.143
99.756,37.144
99.756,37.143
99.761,37.13
99.761,37.13
99.761,37.13
99.755,37.143
99.707,37.153
99.756,37.143
99.756,37.143
99.761,37.13
99.755,37.143
99.659,37.101
99.699,37.13
99.761,37.13
99.761,37.13
99.761,37.131
99.761,37.13
99.761,37.131
99.756,37.145
99.756,37.143
99.756,37.143
99.761,37.13
99.761,37.13
99.756,37.143
99.755,37.144
99.886,36.8
99.756,37.143
99.756,37.143
99.916,36.794
99.918,36.798
99.918,36.798
99.918,36.798
99.948,36.787
99.947,36.719
99.918,36.798
99.918,36.798
99.97,36.812
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
100.018,36.78
99.978,36.787
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.916,36.797
99.921,36.793
99.885,36.796
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.82,36.768
99.918,36.798
99.917,36.798
99.919,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.861,36.827
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.92,36.8
99.955,36.792
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.918,36.798
99.949,36.827
99.918,36.798
99.918,36.798
99.918,36.798
99.917,36.798
99.918,36.798
99.918,36.798
99.917,36.798
99.918,36.798
99.918,36.798
99.917,36.798
99.851,36.735
99.741,36.71
99.918,36.798
99.8,36.79
99.918,36.798
99.774,36.684
99.843,36.733
99.808,36.762
99.765,36.671
99.808,36.721
99.796,36.738
99.799,36.733
99.797,36.738
99.797,36.738
99.789,36.758
99.797,36.73
99.806,36.729
99.805,36.73
99.796,36.737
99.805,36.73
99.805,36.73
99.795,36.733
99.794,36.734
99.794,36.734
99.78,36.731
99.836,36.737
99.805,36.73
99.794,36.738
99.805,36.73
99.794,36.738
99.795,36.738
99.79,36.733
99.79,36.733
99.797,36.738
99.797,36.738
99.866,36.726
99.798,36.733
99.713,36.775
99.805,36.73
99.794,36.737
99.805,36.73
99.805,36.729
99.805,36.729
99.806,36.729
99.794,36.73
99.792,36.734
99.792,36.734
99.791,36.734
99.791,36.734
99.792,36.729
99.823,36.729
99.838,36.781
99.791,36.729
99.804,36.731
99.804,36.731
99.807,36.732
99.804,36.733
99.805,36.73
99.805,36.73
99.818,36.731
99.804,36.731
99.805,36.73
99.796,36.738
99.805,36.73
99.805,36.729
99.794,36.731
99.805,36.73
99.718,36.677
99.801,36.731
99.79,36.733
99.805,36.73
99.796,36.73
99.805,36.73
99.805,36.73
99.805,36.73
99.805,36.729
99.791,36.733
99.805,36.729
