"OBJECTID","x","y"
1,100.117000,36.282000
2,100.074000,36.287000
3,100.019000,36.315000
4,100.022000,36.318000
5,100.022000,36.318000
6,100.021000,36.328000
7,100.035000,36.328000
8,100.167000,36.335000
9,100.182000,36.432000
10,100.142000,36.433000
11,100.141000,36.580000
12,100.141000,36.580000
13,99.678000,36.583000
14,100.232000,36.588000
15,100.230000,36.589000
16,100.237000,36.589000
17,100.231000,36.590000
18,100.241000,36.592000
19,100.239000,36.593000
20,99.670000,36.594000
21,100.174000,36.595000
22,100.093000,36.597000
23,100.132000,36.599000
24,100.118000,36.608000
25,100.087000,36.612000
26,100.108000,36.615000
27,100.086000,36.616000
28,100.139000,36.620000
29,100.138000,36.622000
30,100.240000,36.623000
31,100.112000,36.626000
32,100.017000,36.631000
33,100.093000,36.631000
34,100.130000,36.631000
35,100.130000,36.631000
36,100.160000,36.631000
37,100.281000,36.631000
38,100.281000,36.631000
39,100.125000,36.632000
40,100.125000,36.632000
41,100.125000,36.632000
42,100.149000,36.632000
43,100.149000,36.632000
44,100.150000,36.632000
45,100.122000,36.633000
46,100.122000,36.633000
47,100.123000,36.633000
48,100.123000,36.633000
49,100.124000,36.633000
50,100.124000,36.633000
51,100.125000,36.633000
52,100.129000,36.633000
53,100.159000,36.633000
54,100.164000,36.633000
55,100.165000,36.633000
56,100.102000,36.634000
57,100.102000,36.634000
58,100.103000,36.634000
59,100.130000,36.634000
60,100.132000,36.634000
61,100.132000,36.634000
62,100.133000,36.634000
63,100.156000,36.634000
64,100.158000,36.634000
65,100.160000,36.634000
66,100.160000,36.634000
67,100.170000,36.634000
68,100.165000,36.635000
69,100.167000,36.635000
70,100.169000,36.635000
71,100.169000,36.635000
72,100.170000,36.635000
73,100.107000,36.636000
74,100.107000,36.636000
75,100.167000,36.636000
76,100.170000,36.636000
77,100.175000,36.636000
78,100.107000,36.637000
79,100.107000,36.637000
80,100.107000,36.637000
81,100.108000,36.637000
82,100.174000,36.637000
83,100.101000,36.638000
84,100.101000,36.638000
85,100.101000,36.638000
86,100.183000,36.638000
87,100.045000,36.639000
88,100.098000,36.639000
89,100.124000,36.639000
90,99.811000,36.640000
91,100.098000,36.640000
92,100.098000,36.640000
93,100.193000,36.641000
94,100.091000,36.642000
95,100.091000,36.642000
96,100.193000,36.642000
97,100.194000,36.642000
98,100.089000,36.643000
99,100.192000,36.644000
100,100.197000,36.644000
101,100.199000,36.644000
102,100.195000,36.646000
103,100.195000,36.646000
104,100.196000,36.646000
105,100.198000,36.646000
106,100.198000,36.646000
107,100.199000,36.646000
108,100.198000,36.647000
109,100.198000,36.647000
110,100.199000,36.647000
111,100.199000,36.647000
112,100.199000,36.647000
113,100.388000,36.648000
114,100.062000,36.649000
115,100.387000,36.649000
116,100.058000,36.650000
117,100.223000,36.650000
118,100.385000,36.650000
119,100.119000,36.651000
120,100.037000,36.654000
121,100.225000,36.654000
122,100.224000,36.655000
123,100.224000,36.655000
124,100.225000,36.655000
125,100.225000,36.655000
126,99.960000,36.659000
127,99.980000,36.664000
128,99.959000,36.670000
129,99.960000,36.670000
130,99.961000,36.670000
131,99.962000,36.670000
132,99.765000,36.671000
133,99.960000,36.671000
134,99.718000,36.677000
135,99.840000,36.682000
136,99.841000,36.683000
137,99.774000,36.684000
138,99.844000,36.690000
139,99.832000,36.699000
140,99.776000,36.707000
141,99.741000,36.710000
142,99.743000,36.712000
143,99.947000,36.719000
144,99.776000,36.720000
145,99.808000,36.721000
146,99.859000,36.723000
147,99.866000,36.726000
148,99.778000,36.727000
149,99.728000,36.728000
150,99.796000,36.728000
151,99.791000,36.729000
152,99.791000,36.729000
153,99.792000,36.729000
154,99.793000,36.729000
155,99.794000,36.729000
156,99.802000,36.729000
157,99.805000,36.729000
158,99.805000,36.729000
159,99.805000,36.729000
160,99.805000,36.729000
161,99.805000,36.729000
162,99.805000,36.729000
163,99.805000,36.729000
164,99.805000,36.729000
165,99.805000,36.729000
166,99.805000,36.729000
167,99.805000,36.729000
168,99.805000,36.729000
169,99.805000,36.729000
170,99.806000,36.729000
171,99.806000,36.729000
172,99.823000,36.729000
173,99.792000,36.730000
174,99.794000,36.730000
175,99.796000,36.730000
176,99.797000,36.730000
177,99.797000,36.730000
178,99.803000,36.730000
179,99.804000,36.730000
180,99.804000,36.730000
181,99.805000,36.730000
182,99.805000,36.730000
183,99.805000,36.730000
184,99.805000,36.730000
185,99.805000,36.730000
186,99.805000,36.730000
187,99.805000,36.730000
188,99.805000,36.730000
189,99.805000,36.730000
190,99.805000,36.730000
191,99.805000,36.730000
192,99.805000,36.730000
193,99.805000,36.730000
194,99.805000,36.730000
195,99.805000,36.730000
196,99.805000,36.730000
197,99.805000,36.730000
198,99.805000,36.730000
199,99.805000,36.730000
200,99.805000,36.730000
201,99.805000,36.730000
202,99.805000,36.730000
203,99.805000,36.730000
204,99.805000,36.730000
205,99.805000,36.730000
206,99.805000,36.730000
207,99.805000,36.730000
208,99.805000,36.730000
209,99.805000,36.730000
210,99.805000,36.730000
211,99.805000,36.730000
212,99.805000,36.730000
213,99.805000,36.730000
214,99.805000,36.730000
215,99.805000,36.730000
216,99.805000,36.730000
217,99.805000,36.730000
218,99.805000,36.730000
219,99.805000,36.730000
220,99.805000,36.730000
221,99.780000,36.731000
222,99.794000,36.731000
223,99.794000,36.731000
224,99.801000,36.731000
225,99.802000,36.731000
226,99.804000,36.731000
227,99.804000,36.731000
228,99.804000,36.731000
229,99.804000,36.731000
230,99.804000,36.731000
231,99.805000,36.731000
232,99.805000,36.731000
233,99.805000,36.731000
234,99.818000,36.731000
235,99.827000,36.731000
236,99.900000,36.731000
237,99.795000,36.732000
238,99.797000,36.732000
239,99.798000,36.732000
240,99.798000,36.732000
241,99.798000,36.732000
242,99.798000,36.732000
243,99.799000,36.732000
244,99.799000,36.732000
245,99.799000,36.732000
246,99.801000,36.732000
247,99.802000,36.732000
248,99.804000,36.732000
249,99.807000,36.732000
250,99.790000,36.733000
251,99.790000,36.733000
252,99.790000,36.733000
253,99.790000,36.733000
254,99.791000,36.733000
255,99.795000,36.733000
256,99.797000,36.733000
257,99.797000,36.733000
258,99.798000,36.733000
259,99.799000,36.733000
260,99.799000,36.733000
261,99.799000,36.733000
262,99.799000,36.733000
263,99.800000,36.733000
264,99.801000,36.733000
265,99.801000,36.733000
266,99.802000,36.733000
267,99.804000,36.733000
268,99.843000,36.733000
269,99.854000,36.733000
270,99.790000,36.734000
271,99.791000,36.734000
272,99.791000,36.734000
273,99.791000,36.734000
274,99.792000,36.734000
275,99.792000,36.734000
276,99.792000,36.734000
277,99.792000,36.734000
278,99.794000,36.734000
279,99.794000,36.734000
280,99.796000,36.734000
281,99.796000,36.734000
282,99.799000,36.734000
283,99.799000,36.734000
284,99.799000,36.734000
285,99.799000,36.734000
286,99.800000,36.734000
287,99.800000,36.734000
288,99.801000,36.734000
289,99.801000,36.734000
290,99.785000,36.735000
291,99.792000,36.735000
292,99.793000,36.735000
293,99.796000,36.735000
294,99.797000,36.735000
295,99.797000,36.735000
296,99.797000,36.735000
297,99.797000,36.735000
298,99.797000,36.735000
299,99.798000,36.735000
300,99.798000,36.735000
301,99.798000,36.735000
302,99.798000,36.735000
303,99.851000,36.735000
304,99.755000,36.736000
305,99.790000,36.736000
306,99.791000,36.736000
307,99.795000,36.736000
308,99.796000,36.736000
309,99.797000,36.736000
310,99.797000,36.736000
311,99.797000,36.736000
312,99.797000,36.736000
313,99.797000,36.736000
314,99.797000,36.736000
315,99.797000,36.736000
316,99.797000,36.736000
317,99.797000,36.736000
318,99.797000,36.736000
319,99.797000,36.736000
320,99.797000,36.736000
321,99.797000,36.736000
322,99.797000,36.736000
323,99.798000,36.736000
324,99.798000,36.736000
325,99.798000,36.736000
326,99.759000,36.737000
327,99.794000,36.737000
328,99.795000,36.737000
329,99.796000,36.737000
330,99.796000,36.737000
331,99.796000,36.737000
332,99.796000,36.737000
333,99.796000,36.737000
334,99.796000,36.737000
335,99.796000,36.737000
336,99.796000,36.737000
337,99.796000,36.737000
338,99.796000,36.737000
339,99.797000,36.737000
340,99.797000,36.737000
341,99.797000,36.737000
342,99.797000,36.737000
343,99.797000,36.737000
344,99.797000,36.737000
345,99.798000,36.737000
346,99.836000,36.737000
347,99.865000,36.737000
348,99.794000,36.738000
349,99.794000,36.738000
350,99.795000,36.738000
351,99.795000,36.738000
352,99.796000,36.738000
353,99.796000,36.738000
354,99.796000,36.738000
355,99.796000,36.738000
356,99.796000,36.738000
357,99.797000,36.738000
358,99.797000,36.738000
359,99.797000,36.738000
360,99.797000,36.738000
361,99.796000,36.739000
362,99.797000,36.739000
363,99.797000,36.739000
364,99.794000,36.740000
365,99.794000,36.740000
366,99.794000,36.740000
367,99.794000,36.740000
368,99.794000,36.740000
369,99.794000,36.740000
370,99.794000,36.740000
371,99.794000,36.740000
372,99.794000,36.740000
373,99.795000,36.740000
374,99.795000,36.740000
375,99.795000,36.740000
376,99.795000,36.740000
377,99.795000,36.740000
378,99.795000,36.740000
379,99.795000,36.740000
380,99.795000,36.740000
381,99.796000,36.740000
382,99.796000,36.740000
383,99.796000,36.740000
384,99.796000,36.740000
385,99.796000,36.740000
386,99.796000,36.740000
387,99.796000,36.740000
388,99.796000,36.740000
389,99.796000,36.740000
390,99.796000,36.740000
391,99.796000,36.740000
392,99.796000,36.740000
393,99.796000,36.740000
394,99.796000,36.740000
395,99.796000,36.740000
396,99.796000,36.740000
397,99.796000,36.740000
398,99.796000,36.740000
399,99.796000,36.740000
400,99.796000,36.740000
401,99.796000,36.740000
402,99.796000,36.740000
403,99.796000,36.740000
404,99.796000,36.740000
405,99.796000,36.740000
406,99.796000,36.740000
407,99.797000,36.740000
408,99.772000,36.741000
409,99.794000,36.741000
410,99.794000,36.741000
411,99.794000,36.741000
412,99.794000,36.741000
413,99.795000,36.741000
414,99.795000,36.741000
415,99.795000,36.741000
416,99.795000,36.741000
417,99.795000,36.741000
418,99.795000,36.741000
419,99.795000,36.741000
420,99.795000,36.741000
421,99.795000,36.741000
422,99.795000,36.741000
423,99.795000,36.741000
424,99.795000,36.741000
425,99.795000,36.741000
426,99.795000,36.741000
427,99.795000,36.741000
428,99.795000,36.741000
429,99.795000,36.741000
430,99.796000,36.741000
431,99.796000,36.741000
432,99.796000,36.741000
433,99.796000,36.741000
434,99.796000,36.741000
435,99.796000,36.741000
436,99.802000,36.741000
437,99.793000,36.742000
438,99.873000,36.742000
439,99.799000,36.743000
440,99.793000,36.745000
441,99.761000,36.746000
442,99.792000,36.747000
443,99.792000,36.747000
444,99.792000,36.747000
445,99.792000,36.747000
446,99.792000,36.747000
447,99.792000,36.747000
448,99.792000,36.747000
449,99.791000,36.748000
450,99.792000,36.748000
451,99.792000,36.748000
452,99.792000,36.748000
453,99.838000,36.748000
454,99.763000,36.749000
455,99.808000,36.750000
456,99.720000,36.753000
457,99.788000,36.757000
458,99.789000,36.758000
459,99.786000,36.761000
460,99.789000,36.761000
461,99.791000,36.762000
462,99.791000,36.762000
463,99.808000,36.762000
464,99.820000,36.768000
465,99.713000,36.775000
466,99.801000,36.783000
467,99.801000,36.783000
468,99.801000,36.783000
469,99.800000,36.790000
470,99.712000,36.798000
471,99.745000,36.811000
472,99.813000,36.812000
473,99.362000,36.848000
474,99.620000,36.855000
475,99.537000,36.859000
476,99.538000,36.859000
477,99.536000,36.860000
478,99.309000,36.865000
479,99.707000,36.880000
480,99.636000,36.900000
481,99.792000,36.910000
482,99.624000,36.912000
483,99.596000,36.913000
484,99.620000,36.914000
485,99.620000,36.915000
486,99.620000,36.918000
487,99.621000,36.920000
488,99.621000,36.920000
489,99.623000,36.927000
490,99.788000,36.928000
491,99.783000,36.929000
492,99.791000,36.930000
493,99.621000,36.931000
494,99.789000,36.932000
495,99.789000,36.932000
496,99.789000,36.932000
497,99.789000,36.932000
498,99.789000,36.932000
499,99.790000,36.932000
500,99.790000,36.932000
