"FID_","x","y"
,99.793000,36.742000
,99.796000,36.738000
,99.796000,36.740000
,99.797000,36.736000
,99.801000,36.783000
,99.774000,37.119000
,99.777000,37.119000
,99.762000,37.129000
,99.761000,37.128000
,99.762000,37.124000
,99.765000,37.126000
,99.718000,37.095000
,99.760000,37.121000
,99.762000,37.125000
,99.763000,37.122000
,99.763000,37.124000
,99.759000,37.121000
,99.761000,37.127000
,99.775000,37.136000
,99.762000,37.127000
,99.758000,37.131000
,99.762000,37.126000
,99.766000,37.127000
,99.760000,37.122000
,99.789000,37.109000
,99.764000,37.126000
,99.736000,37.131000
,99.779000,37.100000
,99.736000,37.132000
,99.756000,37.130000
,99.756000,37.120000
,99.727000,37.123000
,99.765000,37.127000
,99.730000,37.128000
,99.725000,37.129000
,99.759000,37.128000
,99.755000,37.124000
,99.723000,37.131000
,99.733000,37.138000
,99.651000,37.094000
,99.710000,37.123000
,99.761000,37.131000
,99.760000,37.120000
,99.724000,37.131000
,99.761000,37.130000
,99.723000,37.134000
,99.772000,37.124000
,99.814000,37.103000
,99.723000,37.132000
,99.751000,37.175000
,99.758000,37.141000
,99.755000,37.129000
,99.761000,37.129000
,99.785000,37.139000
,99.754000,37.143000
,99.757000,37.137000
,99.760000,37.131000
,99.754000,37.142000
,99.760000,37.133000
,99.819000,37.100000
,99.737000,37.125000
,99.756000,37.137000
,99.654000,37.074000
,99.750000,37.135000
,99.770000,37.139000
,99.812000,37.174000
,99.769000,37.138000
,99.760000,37.130000
,99.739000,37.174000
,99.758000,37.142000
,99.732000,37.126000
,99.733000,37.126000
,99.797000,36.737000
,99.786000,36.761000
,99.757000,37.146000
,99.757000,37.135000
,99.776000,37.102000
,99.754000,37.141000
,99.755000,37.142000
,99.765000,37.134000
,99.755000,37.143000
,99.756000,37.144000
,99.707000,37.153000
,99.659000,37.101000
,99.699000,37.130000
,99.756000,37.143000
,99.756000,37.145000
,99.755000,37.144000
,99.947000,36.719000
,99.820000,36.768000
,99.741000,36.710000
,99.851000,36.735000
,99.800000,36.790000
,99.789000,36.758000
,99.843000,36.733000
,99.797000,36.738000
,99.808000,36.721000
,99.774000,36.684000
,99.799000,36.733000
,99.765000,36.671000
,99.797000,36.730000
,99.808000,36.762000
,99.796000,36.737000
,99.805000,36.730000
,99.806000,36.729000
,99.794000,36.734000
,99.795000,36.733000
,99.794000,36.738000
,99.836000,36.737000
,99.780000,36.731000
,99.795000,36.738000
,99.866000,36.726000
,99.713000,36.775000
,99.798000,36.733000
,99.794000,36.737000
,99.794000,36.730000
,99.805000,36.729000
,99.792000,36.729000
,99.823000,36.729000
,99.791000,36.729000
,99.804000,36.731000
,99.818000,36.731000
,99.807000,36.732000
,99.804000,36.733000
,99.794000,36.731000
,99.801000,36.731000
,99.718000,36.677000
,99.790000,36.733000
,99.796000,36.730000
,99.791000,36.733000
,99.794000,36.729000
,99.791000,36.736000
,99.792000,36.735000
,99.804000,36.730000
,99.791000,36.734000
,99.792000,36.734000
,99.796000,36.728000
,99.795000,36.732000
,99.792000,36.730000
,99.793000,36.729000
,99.636000,36.900000
,99.760000,37.129000
,99.759000,37.135000
,99.731000,37.124000
,99.759000,37.118000
,99.727000,37.128000
,99.732000,37.124000
,99.799000,36.733000
,99.755000,36.736000
,99.797000,36.736000
,99.840000,36.682000
,99.841000,36.683000
,99.776000,36.707000
,99.793000,36.745000
,99.796000,36.741000
,99.795000,36.741000
,99.792000,36.747000
,99.827000,36.731000
,99.844000,36.690000
,99.792000,36.748000
,99.791000,36.748000
,99.795000,36.740000
,99.620000,36.855000
,99.796000,36.740000
,99.796000,36.736000
,99.785000,36.735000
,99.794000,36.741000
,99.805000,36.731000
,99.808000,36.750000
,99.772000,36.741000
,99.797000,36.740000
,99.720000,36.753000
,99.763000,36.749000
,99.799000,36.743000
,99.854000,36.733000
,99.796000,36.739000
,99.761000,36.746000
,99.797000,36.732000
,99.795000,36.736000
,99.796000,36.737000
,99.728000,36.728000
,99.798000,36.732000
,99.799000,36.732000
,99.797000,36.739000
,99.802000,36.741000
,99.838000,36.748000
,99.797000,36.733000
,99.795000,36.935000
,99.874000,36.976000
,99.786000,36.936000
,99.785000,36.934000
,99.781000,36.937000
,99.782000,36.935000
,99.783000,36.929000
,99.759000,36.940000
,99.784000,36.935000
,99.761000,36.940000
,99.796000,36.734000
,99.785000,36.935000
,99.789000,36.932000
,99.789000,36.935000
,99.788000,36.937000
,99.786000,36.935000
,99.785000,36.933000
,99.787000,36.936000
,99.792000,36.910000
,99.791000,36.935000
,99.786000,36.933000
,99.790000,36.935000
,99.788000,36.928000
,99.791000,36.932000
,99.785000,36.936000
,99.796000,36.943000
,99.793000,36.939000
,99.790000,36.932000
,99.795000,36.941000
,99.788000,36.933000
,99.791000,36.930000
,99.794000,36.942000
,99.780000,36.936000
,99.802000,36.732000
,99.787000,36.933000
,99.798000,36.736000
,99.801000,36.732000
,99.801000,36.733000
,99.859000,36.723000
,99.865000,36.737000
,99.900000,36.731000
,99.797000,36.737000
,99.745000,36.811000
,99.790000,36.734000
,99.798000,36.735000
,99.788000,36.757000
,99.797000,36.730000
,99.789000,36.761000
,99.791000,36.762000
,99.794000,36.740000
,99.805000,36.730000
,99.796000,36.738000
,99.873000,36.742000
,99.799000,36.734000
,99.778000,36.727000
,99.801000,36.734000
,99.712000,36.798000
,99.803000,36.730000
,99.813000,36.812000
,99.798000,36.737000
